INSERT INTO SPETTATORE (NOME, COGNOME, DATA_DI_NASCITA) VALUES
('Shannon', 'Morris', '1956-07-20'),
('Ashley', 'Lopez', '1926-09-07'),
('Debra', 'Jones', '1911-07-30'),
('Daniel', 'Williams', '1950-12-28'),
('Shane', 'Bennett', '1972-07-02'),
('Ana', 'Woods', '1951-11-19'),
('Preston', 'Gonzalez', '1969-09-14'),
('Brenda', 'Williams', '1929-08-16'),
('Brian', 'Wilson', '1946-05-08'),
('Nicole', 'Dennis', '1964-01-03'),
('Danielle', 'Brooks', '1977-04-16'),
('Spencer', 'Swanson', '1909-08-16'),
('Jody', 'Jones', '1940-09-16'),
('David', 'Copeland', '1983-12-22'),
('Rebecca', 'Arellano', '1914-05-20'),
('Adam', 'Lawrence', '1936-10-23'),
('Tony', 'Hart', '1997-01-20'),
('Thomas', 'Wilkerson', '1911-06-05'),
('Andrew', 'Suarez', '1916-06-04'),
('Nancy', 'Johnston', '1995-04-26'),
('Jackie', 'Rodriguez', '1924-12-06'),
('Travis', 'Clark', '1944-11-04'),
('Amanda', 'Wright', '1934-09-17'),
('Kathryn', 'Brown', '1949-05-21'),
('Lisa', 'Evans', '1991-01-29'),
('Joshua', 'Andrews', '1923-03-02'),
('Billy', 'Watkins', '1942-12-22'),
('Kristina', 'Gordon', '1918-06-17'),
('Jennifer', 'Clark', '1922-05-24'),
('Jasmine', 'Williams', '1959-05-06'),
('Jessica', 'Rogers', '1919-05-30'),
('Lisa', 'Baker', '1921-07-08'),
('Tracy', 'Lopez', '1929-04-29'),
('Christopher', 'Turner', '1983-08-21'),
('Jacqueline', 'Owen', '1957-02-17'),
('Anthony', 'Hart', '1947-06-20'),
('Jessica', 'Frost', '1963-12-30'),
('Lauren', 'Gonzalez', '1912-10-30'),
('Eric', 'Hughes', '1987-02-09'),
('Robert', 'Miller', '1955-05-31'),
('Joel', 'Williams', '1997-06-17'),
('Christopher', 'Farmer', '1997-06-10'),
('Jeremy', 'Huber', '1930-01-13'),
('Melissa', 'Kelly', '1950-01-27'),
('Alyssa', 'King', '1964-01-27'),
('Timothy', 'Evans', '1932-08-03'),
('Gerald', 'Jones', '1991-11-24'),
('Abigail', 'Parker', '1909-06-13'),
('Sarah', 'Wise', '1991-11-13'),
('Betty', 'Miller', '1954-03-20'),
('Perry', 'Hoffman', '1920-01-06'),
('Diana', 'Lopez', '1954-06-22'),
('Jenna', 'Graves', '1961-03-13'),
('Katherine', 'Sanford', '1940-06-01'),
('Teresa', 'Lopez', '1962-12-08'),
('Samuel', 'Garcia', '1982-12-14'),
('Marissa', 'Ford', '1979-09-06'),
('Lindsay', 'Campbell', '2005-07-21'),
('Lauren', 'Houston', '1997-03-24'),
('Linda', 'Hendricks', '1983-02-08'),
('Thomas', 'Ryan', '1999-08-05'),
('Tracy', 'Tyler', '1999-07-03'),
('Darren', 'Fuentes', '1950-01-18'),
('Rachel', 'Garcia', '1908-12-20'),
('Lisa', 'Singleton', '1982-12-11'),
('James', 'Drake', '1977-04-10'),
('Danielle', 'Williams', '1911-10-17'),
('Jeremy', 'Jenkins', '1934-06-08'),
('Jacob', 'Braun', '1970-10-08'),
('Bryan', 'Caldwell', '1915-01-07'),
('Zachary', 'Diaz', '1912-09-21'),
('Andrew', 'Morrison', '1915-10-31'),
('Amanda', 'Jenkins', '1917-02-02'),
('Matthew', 'Griffith', '1990-08-07'),
('Calvin', 'Walker', '1972-12-16'),
('Michael', 'Price', '1926-02-17'),
('Vernon', 'Berry', '1956-02-07'),
('Brandon', 'Berger', '1969-10-24'),
('Nicole', 'Marshall', '1928-10-04'),
('Stephanie', 'Powell', '2003-10-24'),
('Madison', 'Sampson', '1933-06-08'),
('Kathryn', 'Sullivan', '1983-05-24'),
('Michael', 'Rivera', '1961-09-02'),
('Mary', 'Robinson', '1933-04-09'),
('Sarah', 'Mays', '1924-03-12'),
('Sandra', 'Williams', '1972-05-07'),
('Ashley', 'Ferguson', '1995-03-24'),
('Sabrina', 'Waters', '1982-10-27'),
('Kristen', 'Oneill', '2006-02-25'),
('Gregory', 'Cummings', '1932-11-21'),
('Roger', 'Clark', '1929-04-13'),
('David', 'Henderson', '1990-10-10'),
('James', 'Bernard', '2005-12-09'),
('Jeffery', 'Sanders', '1916-09-20'),
('Mark', 'Morales', '1974-01-20'),
('Lisa', 'Horne', '1980-10-05'),
('Joseph', 'Bailey', '2001-02-08'),
('Roberto', 'Mcdonald', '1971-10-30'),
('David', 'Flowers', '2005-03-28'),
('Luis', 'King', '1922-07-17'),
('Cindy', 'Mcdowell', '1932-10-28'),
('Scott', 'Vega', '1936-11-22'),
('Kathryn', 'Bradford', '1997-08-09'),
('Carl', 'Bentley', '1917-04-21'),
('Brandi', 'Silva', '1993-02-18'),
('Tina', 'Love', '1987-04-19'),
('Richard', 'Garcia', '1991-09-21'),
('Cory', 'Dominguez', '1942-06-05'),
('Shannon', 'Raymond', '1972-04-11'),
('Kari', 'Wilson', '1949-01-13'),
('Jonathan', 'Bartlett', '1939-12-04'),
('Jeremy', 'Murphy', '1937-05-21'),
('Diana', 'Carter', '2001-12-19'),
('Mary', 'Johnson', '1921-11-14'),
('Rhonda', 'Smith', '1998-01-08'),
('Joshua', 'Christensen', '1972-02-10'),
('Patrick', 'Snyder', '1991-09-13'),
('Rachel', 'Arnold', '1937-07-13'),
('Riley', 'Bowman', '2002-07-21'),
('Alejandra', 'Taylor', '1956-11-16'),
('Emily', 'Johnson', '1957-08-14'),
('Elizabeth', 'Davis', '1968-04-26'),
('Michael', 'Holmes', '1941-04-03'),
('Mark', 'Martin', '1946-02-07'),
('Caleb', 'House', '1939-05-02'),
('Jacob', 'Collins', '2005-11-20'),
('Gregory', 'Hobbs', '2000-05-24'),
('Samantha', 'Martin', '1978-03-31'),
('Connie', 'Smith', '1970-10-20'),
('Nicolas', 'Graham', '1908-11-30'),
('Nicholas', 'Olsen', '1952-01-13'),
('Ashley', 'Mahoney', '2006-01-19'),
('Sharon', 'Smith', '1970-08-29'),
('Christina', 'Wright', '1950-02-04'),
('John', 'Smith', '1981-03-02'),
('Matthew', 'House', '1920-03-31'),
('Heather', 'Lewis', '2005-10-28'),
('Nathan', 'Dunn', '1937-09-24'),
('Angela', 'Rowe', '1909-08-11'),
('Brittany', 'Spencer', '1925-01-08'),
('Traci', 'Nelson', '1968-06-28'),
('Steven', 'Harvey', '1964-04-21'),
('Maria', 'Reynolds', '1933-10-29'),
('Matthew', 'Ramos', '1961-07-01'),
('Robin', 'Norman', '1950-09-30'),
('Kyle', 'Elliott', '1996-11-05'),
('Jorge', 'Turner', '1944-11-18'),
('John', 'Martinez', '1926-12-05'),
('Max', 'Smith', '1942-03-08'),
('Samuel', 'Phillips', '1998-08-12'),
('Tyrone', 'Brown', '1956-12-20'),
('Suzanne', 'Thompson', '1999-07-05'),
('Richard', 'Carter', '1913-12-11'),
('Danielle', 'Miller', '1986-09-01'),
('Tina', 'Hughes', '2001-06-13'),
('Julie', 'Richard', '1995-12-14'),
('Tiffany', 'Brown', '1951-05-19'),
('Valerie', 'Miranda', '1964-06-24'),
('Nicole', 'Vargas', '1951-08-01'),
('Cathy', 'Melendez', '1985-02-01'),
('Scott', 'Holmes', '1915-06-17'),
('Jeremy', 'Nelson', '1910-07-31'),
('James', 'Mann', '1971-04-10'),
('Jenna', 'Hernandez', '1991-10-12'),
('Patricia', 'Moore', '1930-12-04'),
('Melinda', 'Mayo', '2003-10-19'),
('Philip', 'Marsh', '2002-08-12'),
('Kelly', 'Turner', '1946-01-15'),
('Kelsey', 'Li', '1969-02-23'),
('Denise', 'West', '1919-11-21'),
('Matthew', 'Rivers', '1980-08-23'),
('Christina', 'Scott', '1968-09-05'),
('Jennifer', 'Johnson', '1919-05-30'),
('David', 'Rodriguez', '1916-12-22'),
('Jane', 'Acosta', '1997-05-27'),
('Brent', 'Smith', '1955-09-03'),
('Mark', 'Jones', '1960-04-17'),
('Laura', 'Quinn', '1925-05-16'),
('Patrick', 'Johnson', '2002-04-08'),
('Kelly', 'Durham', '1936-10-28'),
('Kevin', 'Mercado', '1914-08-12'),
('Brooke', 'Elliott', '1953-08-07'),
('Justin', 'Vaughan', '1984-10-28'),
('Jennifer', 'Murphy', '2002-02-06'),
('Sue', 'Lee', '1909-06-17'),
('Michael', 'Garcia', '1945-05-26'),
('Travis', 'Newman', '2001-01-25'),
('Cassandra', 'Williams', '1918-04-24'),
('Carl', 'Coleman', '1951-10-10'),
('Cindy', 'Martinez', '1917-09-27'),
('Omar', 'Skinner', '1958-10-03'),
('Jeffrey', 'Martinez', '1935-02-01'),
('Debbie', 'Tapia', '1922-10-15'),
('Lisa', 'Cameron', '1943-12-04'),
('Donald', 'Vasquez', '1969-04-28'),
('Charles', 'Leonard', '1913-06-18'),
('Meghan', 'Greer', '1977-01-24'),
('Sarah', 'Johnson', '1988-11-26'),
('Lori', 'Carpenter', '1997-07-17'),
('Sydney', 'Miller', '1980-04-07'),
('Stephen', 'Frye', '1956-01-08'),
('Jacob', 'Mckenzie', '1950-11-11'),
('Lisa', 'Arellano', '1998-06-06'),
('Andrew', 'Smith', '1909-04-12'),
('Jesus', 'Becker', '1968-10-21'),
('David', 'Carter', '1955-09-24'),
('Julie', 'Stephens', '1975-04-25'),
('Matthew', 'Brooks', '1976-12-16'),
('Rick', 'Soto', '1989-12-22'),
('Misty', 'Anderson', '1925-09-20'),
('Sandra', 'Church', '1990-04-08'),
('Karen', 'Foster', '1940-07-17'),
('John', 'Elliott', '1921-07-08'),
('Brittany', 'Weaver', '1914-06-03'),
('Brenda', 'Cook', '1967-08-08'),
('Scott', 'Jones', '1939-06-27'),
('Brianna', 'Green', '1969-06-03'),
('Robert', 'Mejia', '1970-02-16'),
('Aaron', 'Thomas', '1937-11-21'),
('Gina', 'Chavez', '1912-10-30'),
('Miguel', 'Sanders', '1971-04-16'),
('Duane', 'Krueger', '1994-05-02'),
('Jody', 'Valenzuela', '1958-03-28'),
('James', 'Barron', '1940-05-31'),
('Randy', 'Flores', '1938-11-14'),
('Robin', 'Jacobs', '1990-01-28'),
('Leslie', 'Steele', '1976-12-26'),
('Michael', 'Lopez', '1919-03-01'),
('Rebecca', 'Johnson', '1967-05-08'),
('Patricia', 'Compton', '1931-10-08'),
('Marissa', 'Thompson', '1971-09-28'),
('Daniel', 'Woodard', '1975-02-15'),
('Chris', 'Williams', '1975-10-18'),
('Brian', 'Mendoza', '1973-01-29'),
('Sean', 'Robinson', '1967-01-17'),
('Michelle', 'Joseph', '1967-09-19'),
('Sharon', 'Deleon', '1995-12-22'),
('Ryan', 'Hill', '1986-01-18'),
('Carolyn', 'Potter', '1979-12-04'),
('Mary', 'Robbins', '1999-05-16'),
('Jennifer', 'Watkins', '1948-08-12'),
('Margaret', 'Martinez', '1940-09-01'),
('James', 'Coleman', '1919-11-01'),
('Marissa', 'Johnson', '1983-05-07'),
('Eileen', 'Khan', '1929-11-09'),
('Alexander', 'Harris', '1928-09-10'),
('Ryan', 'Johnson', '1929-11-20'),
('Steve', 'Warren', '1954-07-21'),
('David', 'Kennedy', '1963-10-31'),
('April', 'Ramos', '1977-08-09'),
('Tammy', 'Powell', '1951-06-09'),
('Debra', 'Decker', '1979-08-08'),
('Joshua', 'Nguyen', '1963-04-24'),
('Dawn', 'Mcclain', '1983-10-04'),
('Andrew', 'Farley', '1952-08-25'),
('Kathleen', 'Hernandez', '1982-08-31'),
('Richard', 'Lang', '1989-03-01'),
('Jeffrey', 'Wagner', '1999-08-06'),
('Maria', 'Arias', '1923-10-28'),
('Kelly', 'Williams', '1975-12-17'),
('Wendy', 'Harper', '1958-06-21'),
('Donna', 'Cook', '1912-07-23'),
('Anita', 'Ellis', '2002-07-16'),
('Adam', 'Sherman', '1970-02-20'),
('Karen', 'Callahan', '1972-11-30'),
('Eric', 'Anderson', '1973-06-05'),
('Stacy', 'Adams', '1988-11-22'),
('Christine', 'Collins', '1995-09-25'),
('Natasha', 'Nelson', '1932-10-12'),
('Jason', 'Rasmussen', '1926-03-15'),
('Shane', 'Daniels', '1918-10-04'),
('Jerry', 'Moss', '1994-07-27'),
('Melissa', 'Gonzalez', '1917-07-28'),
('Stacy', 'Thomas', '1950-11-22'),
('Jaime', 'Jackson', '1926-01-13'),
('Jared', 'Castillo', '1909-10-15'),
('Diane', 'Phillips', '1984-07-27'),
('Mark', 'Smith', '1913-12-01'),
('Jerry', 'Duran', '1981-01-04'),
('Jeff', 'Beard', '1928-03-19'),
('Evan', 'Ramos', '1965-07-28'),
('Mark', 'Shields', '1950-05-10'),
('Paul', 'Mcintosh', '1955-07-23'),
('William', 'White', '1937-07-20'),
('Lisa', 'Rodriguez', '1977-07-21'),
('Jeff', 'Lopez', '2001-05-12'),
('John', 'Taylor', '1969-10-15'),
('Julie', 'Pace', '1952-11-07'),
('Eric', 'Carroll', '1982-12-26'),
('Allison', 'Sanchez', '1933-12-13'),
('Brenda', 'Carson', '1975-02-15'),
('James', 'Ingram', '1944-01-07'),
('Margaret', 'Collins', '2006-05-21'),
('Sylvia', 'Price', '1924-02-21'),
('Brianna', 'Chavez', '1968-05-19'),
('Bryan', 'Schmidt', '1947-09-23'),
('Michael', 'Martinez', '1926-01-06'),
('Eddie', 'Perez', '1997-10-24'),
('Brandon', 'Smith', '1939-12-08'),
('Kevin', 'Taylor', '2002-01-01'),
('James', 'Ramsey', '1912-01-09'),
('Susan', 'Fry', '1970-10-29'),
('Kelly', 'Green', '1959-06-19'),
('Karl', 'Torres', '1992-04-12'),
('Beth', 'Collins', '1996-05-18'),
('Gregory', 'Walker', '1978-12-22'),
('Curtis', 'Summers', '1993-01-27'),
('Brittney', 'Diaz', '1929-04-16'),
('Steven', 'Hardy', '1960-02-15'),
('Brian', 'Johnson', '1934-12-14'),
('Felicia', 'Johnson', '1992-09-01'),
('Jimmy', 'Nicholson', '1936-08-08'),
('Laura', 'Allen', '1953-06-28'),
('Ashley', 'Long', '1937-04-06'),
('Kristine', 'Harris', '2006-05-31'),
('Cheryl', 'Pruitt', '1953-10-01'),
('Molly', 'Flores', '1977-04-16'),
('Brittany', 'Brown', '1994-01-14'),
('Andrea', 'Grimes', '2002-11-18'),
('Thomas', 'Smith', '1967-03-19'),
('Richard', 'Hanson', '1981-05-02'),
('Shannon', 'Ritter', '1972-10-26'),
('Vanessa', 'Robertson', '1985-09-21'),
('Troy', 'Stone', '1940-12-24'),
('Rebecca', 'Wells', '1948-04-15'),
('Toni', 'Valdez', '1995-07-23'),
('Valerie', 'Burns', '1960-05-04'),
('Jay', 'Patel', '1993-06-06'),
('Aaron', 'Reyes', '1935-01-26'),
('Tammy', 'Rodriguez', '1967-07-24'),
('Brandy', 'Lee', '1958-09-19'),
('Cesar', 'Terry', '1928-10-05'),
('Pamela', 'Clark', '1954-03-13'),
('Logan', 'Price', '1943-03-29'),
('Mark', 'Gibson', '1945-06-02'),
('Kelly', 'Gordon', '1941-10-09'),
('Jacob', 'Hansen', '1961-11-04'),
('Tiffany', 'Fischer', '2001-03-29'),
('Rebecca', 'Rogers', '1955-02-12'),
('Mary', 'Jones', '1921-01-13'),
('Heather', 'Manning', '2003-06-29'),
('Alexis', 'Castro', '1985-10-22'),
('Scott', 'Wood', '1916-10-02'),
('Eileen', 'Garza', '1979-04-07'),
('Patricia', 'Bailey', '1998-11-05'),
('Jessica', 'Miller', '1999-12-11'),
('Austin', 'Stewart', '1922-12-17'),
('Tracy', 'Moore', '1916-11-11'),
('Thomas', 'Saunders', '1990-05-15'),
('Kayla', 'Mcdaniel', '1963-09-27'),
('Kenneth', 'Mendez', '1949-07-05'),
('James', 'Brown', '1983-05-21'),
('Tara', 'Lowery', '1972-04-30'),
('Melanie', 'Garza', '1927-08-31'),
('Lauren', 'Johnson', '1926-12-27'),
('Michael', 'Banks', '1977-08-23'),
('Justin', 'Benjamin', '1996-11-19'),
('April', 'Stevens', '1929-12-24'),
('Richard', 'Morrison', '1954-01-27'),
('Jason', 'Cantu', '1996-04-29'),
('Travis', 'Parker', '1977-07-20'),
('Karen', 'Neal', '1911-11-08'),
('Carly', 'Scott', '1986-04-11'),
('Jose', 'Walters', '1965-08-16'),
('Gwendolyn', 'Brock', '1913-05-21'),
('Emily', 'Levy', '1919-11-06'),
('Joy', 'Bell', '2005-01-14'),
('Brian', 'Frederick', '1975-02-15'),
('Jason', 'Spencer', '1961-09-20'),
('Tommy', 'Knapp', '1940-10-19'),
('Sherri', 'Williams', '1946-12-11'),
('Daniel', 'Nunez', '1926-10-07'),
('Jeffrey', 'Mullen', '1956-02-29'),
('Jeremy', 'Hayes', '1916-07-17'),
('Harold', 'Frost', '1989-12-01'),
('Pamela', 'Smith', '1921-05-25'),
('Nicole', 'Lopez', '1922-04-01'),
('Taylor', 'Johnson', '1999-06-03'),
('Angela', 'Blake', '1924-10-09'),
('Brianna', 'Newton', '2001-04-01'),
('Linda', 'Reeves', '1940-09-18'),
('Ashley', 'Silva', '1993-11-26'),
('Benjamin', 'Manning', '1946-01-26'),
('Tracey', 'Nunez', '1912-06-12'),
('Timothy', 'Palmer', '1934-06-24'),
('Erin', 'Brewer', '1996-12-17'),
('Matthew', 'Graham', '1987-06-11'),
('Eileen', 'Sosa', '1943-02-13'),
('Thomas', 'Pierce', '1921-10-19'),
('Darrell', 'Duffy', '1994-08-17'),
('Brandy', 'Smith', '1942-08-30'),
('Kevin', 'Howe', '1911-05-23'),
('Mario', 'George', '1916-11-29'),
('James', 'Howard', '2003-11-26'),
('Morgan', 'Hill', '1974-01-20'),
('Michael', 'Thomas', '1944-09-18'),
('Jonathan', 'Kennedy', '1932-01-29'),
('Melissa', 'Schmidt', '1960-01-05'),
('Sandra', 'Malone', '1944-09-25'),
('Stephanie', 'Arias', '1912-01-20'),
('Kathy', 'Delacruz', '1915-07-21'),
('Matthew', 'Jones', '1966-10-18'),
('Thomas', 'Steele', '1970-11-06'),
('Jade', 'Tucker', '1949-11-24'),
('Steven', 'Farrell', '1915-03-16'),
('Megan', 'Reed', '1916-04-06'),
('David', 'Schwartz', '1991-04-22'),
('Jenna', 'Garcia', '1922-02-04'),
('John', 'West', '1937-09-25'),
('Stephanie', 'Jones', '1995-08-02'),
('Sheryl', 'Jackson', '1967-05-07'),
('Catherine', 'Thompson', '1930-09-01'),
('Joseph', 'Wallace', '2003-10-02'),
('Daniel', 'Henry', '1971-07-11'),
('Jason', 'Stanley', '1990-10-30'),
('Adam', 'Mckee', '1959-11-08'),
('Alison', 'Fox', '1994-12-24'),
('Samantha', 'Brock', '1998-04-09'),
('Susan', 'Hart', '1915-05-30'),
('Ethan', 'Gardner', '1935-05-04'),
('Stacie', 'Noble', '1954-12-28'),
('Shawn', 'Rivera', '1995-12-10'),
('Paul', 'Romero', '1928-11-18'),
('Brandi', 'Kerr', '1969-11-03'),
('Jennifer', 'Durham', '1984-07-06'),
('Erica', 'Moore', '1985-04-20'),
('Tasha', 'Moore', '1982-02-11'),
('Robin', 'Martin', '1998-06-04'),
('Zachary', 'Jones', '1964-12-21'),
('Julie', 'Carter', '1956-07-22'),
('Cynthia', 'Oliver', '1936-11-08'),
('Phillip', 'Murray', '1918-11-30'),
('Hector', 'Carson', '1946-10-01'),
('Jennifer', 'Simpson', '1923-12-03'),
('Penny', 'Calderon', '1956-06-01'),
('Robert', 'Patterson', '2001-02-14'),
('Christopher', 'Kaufman', '1936-05-22'),
('Michael', 'White', '1998-10-05'),
('Shawn', 'Anderson', '1989-07-05'),
('Michael', 'Trujillo', '1987-06-22'),
('Nicole', 'Jacobs', '1954-09-24'),
('Erik', 'Gray', '1984-06-03'),
('Rodney', 'Lutz', '1977-01-17'),
('Martha', 'Graves', '1942-07-03'),
('Barbara', 'Johnson', '1981-06-27'),
('Michael', 'Frazier', '1928-03-14'),
('Marie', 'Clark', '1996-11-03'),
('William', 'Nguyen', '1944-03-27'),
('Deborah', 'Francis', '1914-04-20'),
('Nancy', 'Brown', '1923-03-02'),
('Dylan', 'Dunn', '1947-09-21'),
('Drew', 'Taylor', '1928-02-22'),
('Paul', 'Olson', '1930-05-06'),
('Sarah', 'Waters', '1911-04-18'),
('Aaron', 'Franco', '1982-11-05'),
('Latoya', 'Willis', '1927-11-21'),
('Bryan', 'Freeman', '1934-08-17'),
('Caleb', 'Stewart', '1919-12-22'),
('Adrienne', 'Smith', '1993-09-18'),
('Larry', 'Chandler', '1931-09-03'),
('Ryan', 'Hart', '1921-11-24'),
('Stephanie', 'George', '1987-10-12'),
('Vanessa', 'Douglas', '1978-05-17'),
('Laura', 'Elliott', '1995-02-17'),
('Angela', 'Schroeder', '1943-04-09'),
('Cindy', 'Smith', '1980-11-14'),
('Melissa', 'Smith', '2005-05-05'),
('Timothy', 'Padilla', '1933-10-31'),
('Samuel', 'Bass', '1991-01-15'),
('Richard', 'Bean', '1937-02-13'),
('Laurie', 'Walker', '1992-01-24'),
('Lawrence', 'Edwards', '1973-06-14'),
('Janet', 'Washington', '1992-06-13'),
('Robert', 'Powell', '1985-12-23'),
('Kendra', 'Dillon', '1975-04-22'),
('Jeanette', 'Christensen', '1940-08-31'),
('Katherine', 'Kirby', '1989-09-10'),
('Kayla', 'Andrews', '1991-05-26'),
('Vincent', 'Henderson', '1965-08-14'),
('Michael', 'Rodriguez', '2002-04-25'),
('Sandra', 'Murray', '1934-04-18'),
('Tracey', 'Howell', '1938-09-25'),
('Joan', 'Kennedy', '1996-04-21'),
('Betty', 'Morse', '1984-12-19'),
('Jeffery', 'Reilly', '1924-04-30'),
('Rachel', 'Smith', '1937-02-20'),
('John', 'Brown', '1968-11-18'),
('William', 'Green', '1929-09-02'),
('Daniel', 'Boyer', '1913-12-19'),
('John', 'Jones', '1917-04-19'),
('Michelle', 'Johnson', '1979-09-22'),
('Ashlee', 'Spencer', '1912-12-05'),
('Scott', 'Strong', '1954-01-31'),
('Jillian', 'Ford', '1967-06-02'),
('Susan', 'Hudson', '1993-08-02'),
('Evelyn', 'Santos', '1940-02-07'),
('Christopher', 'Stevenson', '1916-10-23'),
('Alicia', 'Lawson', '1971-04-12'),
('Jesse', 'Harrison', '1943-11-27'),
('Christina', 'Evans', '1947-05-01'),
('Travis', 'Horn', '1969-02-07'),
('Michael', 'Murray', '1999-09-18'),
('Laura', 'Lin', '1969-05-01'),
('Rebecca', 'Bradshaw', '1920-05-03'),
('Edward', 'Rodriguez', '1924-02-13'),
('Mark', 'Richardson', '1984-12-03'),
('Christina', 'Flynn', '1991-07-22'),
('Christine', 'Lester', '1989-04-17'),
('Carol', 'Sloan', '1930-05-13'),
('Devin', 'Tucker', '1931-01-14'),
('Joseph', 'Perry', '1960-05-21'),
('Christopher', 'Ross', '1961-08-05'),
('Andrew', 'Johnson', '1978-08-17'),
('Brenda', 'Gonzales', '1997-07-29'),
('Rachel', 'Thomas', '1989-10-25'),
('Erika', 'Velez', '2006-01-16'),
('Joseph', 'Koch', '1991-04-04'),
('Sara', 'Kirk', '1966-07-27'),
('Melody', 'Castro', '1945-04-08'),
('Richard', 'Phillips', '1966-07-11'),
('Yolanda', 'Taylor', '1991-05-08'),
('Michael', 'Perez', '1930-01-31'),
('Lindsay', 'Soto', '1970-01-24'),
('Monica', 'Stone', '1928-10-14'),
('Becky', 'Jones', '1987-08-28'),
('Rebecca', 'Hicks', '1918-10-23'),
('Jennifer', 'Flynn', '1955-10-27'),
('Chris', 'Castillo', '1924-01-05'),
('Cynthia', 'Perez', '1969-02-07'),
('Deanna', 'Perez', '1984-09-11'),
('Anna', 'Walton', '1981-12-10'),
('Kenneth', 'Collins', '1948-02-06'),
('Mark', 'Peterson', '1948-03-02'),
('Wesley', 'Williams', '1989-09-18'),
('Dawn', 'Rodriguez', '1983-12-08'),
('Rhonda', 'Velez', '1924-12-27'),
('Linda', 'Murray', '1964-12-01'),
('Sandra', 'Johnson', '1984-11-01'),
('Larry', 'Mckay', '1966-02-01'),
('Margaret', 'Burton', '2002-07-22'),
('Susan', 'Davis', '1993-02-03'),
('Mario', 'Lopez', '1965-08-21'),
('Monica', 'Montoya', '1943-03-15'),
('Allen', 'Duncan', '1957-07-05'),
('Shane', 'Moon', '2006-05-03'),
('Miranda', 'Rivers', '1959-12-15'),
('Erica', 'Jacobs', '1989-04-17'),
('Nathan', 'Holder', '1942-10-18'),
('Lisa', 'Singleton', '1952-05-20'),
('Paul', 'Case', '1916-11-16'),
('Erica', 'Fitzgerald', '2002-02-09'),
('Daniel', 'Williams', '1928-11-26'),
('Shannon', 'Palmer', '1928-06-13'),
('Jennifer', 'Compton', '1933-06-14'),
('Paul', 'Heath', '1940-01-06'),
('Ashley', 'Kirby', '1988-07-12'),
('Gabriella', 'Edwards', '1996-02-27'),
('Meghan', 'Perez', '1979-02-02'),
('Amber', 'Thompson', '1982-06-11'),
('Jonathan', 'Mccarthy', '1911-10-08'),
('Michael', 'Garza', '1962-06-05'),
('Paula', 'Williams', '1932-02-27'),
('John', 'Lopez', '1995-04-24'),
('Michael', 'Garza', '1915-01-06'),
('Steven', 'Davis', '1961-09-22'),
('Mark', 'Johnson', '1945-03-04'),
('Angela', 'Taylor', '2003-09-07'),
('Rebecca', 'Lewis', '1921-07-13'),
('Daniel', 'Larson', '2002-12-15'),
('Kimberly', 'Castillo', '2004-12-17'),
('Heidi', 'Anderson', '1980-03-25'),
('Curtis', 'Gonzalez', '1938-07-03'),
('Amber', 'Brown', '1964-05-11'),
('Courtney', 'Grant', '1966-05-17'),
('Erik', 'Miller', '1938-02-17'),
('Gloria', 'Salazar', '1967-05-08'),
('Brian', 'Phillips', '1951-09-21'),
('Barry', 'Roberts', '1930-05-14'),
('Albert', 'Rodriguez', '1929-09-07'),
('Michael', 'Perez', '1998-03-13'),
('Kaitlyn', 'Chang', '2000-10-30'),
('Mary', 'Le', '1975-03-31'),
('Lisa', 'Kaufman', '1923-02-22'),
('Jermaine', 'Nelson', '1928-04-11'),
('Laura', 'Cuevas', '1989-05-06'),
('Johnathan', 'Harrell', '1940-03-22'),
('Matthew', 'Kelly', '1950-08-02'),
('Cheryl', 'Johnson', '1920-07-12'),
('Theresa', 'Rowe', '2002-08-08'),
('Elizabeth', 'Davis', '1982-03-02'),
('Terri', 'Sutton', '1952-04-03'),
('Melissa', 'Evans', '1913-09-07'),
('Terry', 'Thompson', '1940-05-12'),
('Courtney', 'Reyes', '1954-01-08'),
('Donald', 'Johnson', '1949-04-10'),
('Aaron', 'Briggs', '1997-09-04'),
('Mason', 'Howard', '1992-11-01'),
('Paul', 'Bennett', '1925-02-24'),
('Sabrina', 'Bush', '1958-04-19'),
('Willie', 'Copeland', '1983-12-09'),
('Kenneth', 'Cook', '1981-01-16'),
('Kevin', 'Harris', '1935-06-13'),
('Joseph', 'Moody', '1969-05-29'),
('Anthony', 'Johnson', '1987-08-04'),
('Clinton', 'Davis', '1959-02-07'),
('Tyler', 'Conner', '1950-09-01'),
('Scott', 'Clayton', '1987-05-23'),
('Anna', 'Tran', '1959-05-18'),
('Nicholas', 'Beck', '1921-05-27'),
('Shannon', 'Golden', '1981-03-02'),
('Alex', 'Cox', '1995-11-21'),
('Jesse', 'Hudson', '2001-11-28'),
('Sheryl', 'Clark', '1990-12-24'),
('Grace', 'Vaughn', '1948-04-14'),
('Ashley', 'Black', '1913-11-17'),
('Kimberly', 'Newton', '1943-10-01'),
('Manuel', 'Smith', '1934-12-14'),
('Yolanda', 'Fox', '1954-02-20'),
('Debra', 'Welch', '1919-02-23'),
('Jeremy', 'Higgins', '1927-08-06'),
('Stephen', 'Watts', '2004-06-21'),
('Dustin', 'Carr', '1960-02-21'),
('Justin', 'Davis', '1963-05-21'),
('Michelle', 'Ramirez', '1928-07-29'),
('Virginia', 'Wyatt', '1969-12-25'),
('Erin', 'Thomas', '1911-06-22'),
